
VF= -5 to 2 in 0.01 step
NO. VF IF
 V A
287 -2.14 -5.8223E-07
288 -2.13 9.0124E-07
289 -2.12 5.212E-08
290 -2.11 -9.4964E-07
291 -2.1 -2.0432E-07
292 -2.09 9.9463E-07
293 -2.08 -5.0027E-07
294 -2.07 -4.8665E-07
295 -2.06 8.7681E-07
296 -2.05 1.86E-09
297 -2.04 -9.4469E-07
298 -2.03 5.4222E-07
299 -2.02 -8.0879E-07
300 -2.01 -2.149E-07
301 -2 1.01361E-06
302 -1.99 -2.0255E-07
303 -1.98 -6.5958E-07
304 -1.97 8.9166E-07
305 -1.96 1.5211E-07
306 -1.95 -9.5472E-07
307 -1.94 -2.6502E-07
308 -1.93 1.02061E-06
309 -1.92 -2.938E-08
310 -1.91 -9.2317E-07
311 -1.9 6.5029E-07
312 -1.89 2.768E-07
313 -1.88 -8.6943E-07
314 -1.87 2.128E-08
315 -1.86 7.8391E-07
316 -1.85 -5.8145E-07
317 -1.84 9.0279E-07
318 -1.83 5.948E-08
319 -1.82 -9.41E-07
320 -1.81 -4.2073E-07
321 -1.8 9.0728E-07
322 -1.79 -1.327E-08
323 -1.78 -9.5162E-07
324 -1.77 5.0418E-07
325 -1.76 -8.536E-07
326 -1.75 -1.6239E-07
327 -1.74 9.6489E-07
328 -1.73 -5.5677E-07
329 -1.72 -3.9328E-07
330 -1.71 9.2409E-07
331 -1.7 -1.616E-08
332 -1.69 -9.4301E-07
333 -1.68 4.9387E-07
334 -1.67 -8.4999E-07
335 -1.66 -1.4337E-07
336 -1.65 9.4884E-07
337 -1.64 -7.0704E-07
338 -1.63 -2.6721E-07
339 -1.62 1.01891E-06
340 -1.61 -7.839E-08
341 -1.6 -7.8181E-07
342 -1.59 7.5445E-07
343 -1.58 2.1271E-07
344 -1.57 -9.2874E-07
345 -1.56 1.0599E-07
346 -1.55 6.7095E-07
347 -1.54 -6.5431E-07
348 -1.53 -2.8775E-07
349 -1.52 1.015E-06
350 -1.51 -5.277E-08
351 -1.5 -8.315E-07
352 -1.49 7.1014E-07
