
VF= -5 to 2 in 0.01 step
NO. VF IF
 V A
402 -0.99 -4.1036E-07
403 -0.98 -4.2596E-07
404 -0.97 7.8076E-07
405 -0.96 7.3E-10
406 -0.95 -7.8642E-07
407 -0.94 4.7205E-07
408 -0.93 -6.9012E-07
409 -0.92 -1.935E-07
410 -0.91 9.1003E-07
411 -0.9 -4.8E-10
412 -0.89 -7.8184E-07
413 -0.88 4.7413E-07
414 -0.87 -6.9066E-07
415 -0.86 -1.9239E-07
416 -0.85 9.0605E-07
417 -0.84 -7E-10
418 -0.83 -7.8273E-07
419 -0.82 4.7353E-07
420 -0.81 -6.9195E-07
421 -0.8 -1.9414E-07
422 -0.79 9.065E-07
423 -0.78 5E-11
424 -0.77 -7.8384E-07
425 -0.76 4.7481E-07
426 -0.75 -6.9217E-07
427 -0.74 -1.9056E-07
428 -0.73 9.059E-07
429 -0.72 7E-10
430 -0.71 -7.8129E-07
431 -0.7 4.736E-07
432 -0.69 -6.9313E-07
433 -0.68 -1.9171E-07
434 -0.67 9.0747E-07
435 -0.66 1.12E-09
436 -0.65 -7.8122E-07
437 -0.64 4.7343E-07
438 -0.63 -6.9603E-07
439 -0.62 -1.913E-07
440 -0.61 9.0919E-07
441 -0.6 1.03E-09
442 -0.59 -7.808E-07
443 -0.58 4.7461E-07
444 -0.57 -6.9451E-07
445 -0.56 -1.9124E-07
446 -0.55 9.0915E-07
447 -0.54 1.535E-08
448 -0.53 -7.7924E-07
449 -0.52 5.1345E-07
450 -0.51 -6.5428E-07
451 -0.5 -2.1776E-07
452 -0.49 9.1475E-07
453 -0.48 1.4244E-07
454 -0.47 -8.0594E-07
455 -0.46 1.6219E-07
456 -0.45 5.0522E-07
457 -0.44 -6.6134E-07
458 -0.43 -2.1171E-07
459 -0.42 9.1483E-07
460 -0.41 1.3841E-07
461 -0.4 -8.017E-07
462 -0.39 -2.979E-07
463 -0.38 8.7317E-07
464 -0.37 -2.726E-08
465 -0.36 -7.6352E-07
466 -0.35 5.7237E-07
467 -0.34 2.352E-07
468 -0.33 -7.5699E-07
469 -0.32 2.121E-08
470 -0.31 6.8169E-07
471 -0.3 -4.9509E-07
472 -0.29 -3.1633E-07
473 -0.28 8.5464E-07
474 -0.27 -2.087E-08
475 -0.26 -7.7293E-07
476 -0.25 5.5529E-07
477 -0.24 2.5078E-07
478 -0.23 -7.4333E-07
479 -0.22 1.373E-08
480 -0.21 7.0144E-07
481 -0.2 -4.952E-07
482 -0.19 8E-07
483 -0.18 5.594E-08
484 -0.17 -7.9998E-07
485 -0.16 -4.0188E-07
486 -0.15 7.9532E-07
487 -0.14 -4.7E-09
488 -0.13 -7.8688E-07
489 -0.12 4.5913E-07
490 -0.11 -7.2248E-07
491 -0.1 -1.7361E-07
492 -0.09 9.0358E-07
493 -0.08 -1.566E-08
494 -0.07 -7.7739E-07
495 -0.06 5.5782E-07
496 -0.05 2.6771E-07
497 -0.04 -7.3125E-07
498 -0.03 9.27E-09
499 -0.02 7.1147E-07
500 -0.01 -5.0461E-07
501 0 9.0182E-07
502 0.01 -4.606E-08
503 0.02 -7.1008E-07
504 0.03 6.239E-07
505 0.04 2.032E-07
506 0.05 -7.9053E-07
507 0.06 4.627E-08
508 0.07 6.3744E-07
509 0.08 -5.4346E-07
510 0.09 -2.7881E-07
511 0.1 8.9101E-07
512 0.11 -3.315E-08
513 0.12 -7.3758E-07
514 0.13 6.0179E-07
515 0.14 2.2082E-07
516 0.15 -7.7776E-07
517 0.16 3.06E-08
518 0.17 6.6459E-07
519 0.18 -5.1643E-07
520 0.19 -2.9595E-07
521 0.2 8.75E-07
522 0.21 -2.517E-08
523 0.22 -7.6135E-07
524 0.23 5.8452E-07
525 0.24 2.3621E-07
526 0.25 -7.6418E-07
527 0.26 1.978E-08
528 0.27 6.8695E-07
529 0.28 8.639E-07
530 0.29 6.2549E-07
531 0.3 2.1278E-07
532 0.31 -7.8533E-07
533 0.32 4.226E-08
534 0.33 6.5486E-07
535 0.34 -5.2596E-07
536 0.35 -2.7966E-07
537 0.36 8.9787E-07
538 0.37 -1.681E-08
539 0.38 -7.3049E-07
540 0.39 6.226E-07
541 0.4 2.6772E-07
542 0.41 -7.1827E-07
543 0.42 1.0296E-07
544 0.43 8.0017E-07
545 0.44 8.2526E-07
546 0.45 -2.7676E-07
547 0.46 4.646E-08
548 0.47 4.7086E-07
549 0.48 1.3034E-06
550 0.49 1.1831E-06
551 0.5 2.4448E-06
552 0.51 1.9635E-06
553 0.52 3.0305E-06
554 0.53 5.6558E-06
555 0.54 6.4141E-06
556 0.55 1.00315E-05
557 0.56 1.3694E-05
558 0.57 2.0247E-05
559 0.58 3.0266E-05
560 0.59 4.0828E-05
561 0.6 5.5764E-05
562 0.61 7.6663E-05
563 0.62 0.000100994
564 0.63 0.00013315
565 0.64 0.00017047
566 0.65 0.00021426
567 0.66 0.00026325
568 0.67 0.00031901
569 0.68 0.00038814
570 0.69 0.00046032
571 0.7 0.0005392
