
VD= 1 to 6 in 0.01 step
NO. VD ID
 V A
327 4.26 7.1667E-05
328 4.27 7.1608E-05
329 4.28 7.1573E-05
330 4.29 7.1649E-05
331 4.3 7.1644E-05
332 4.31 7.1601E-05
333 4.32 7.1638E-05
334 4.33 7.1676E-05
335 4.34 7.1613E-05
336 4.35 7.1603E-05
337 4.36 7.1668E-05
338 4.37 7.1639E-05
339 4.38 7.1592E-05
340 4.39 7.1647E-05
341 4.4 7.1676E-05
342 4.41 7.1617E-05
343 4.42 7.1619E-05
344 4.43 7.1674E-05
345 4.44 7.1623E-05
346 4.45 7.1591E-05
347 4.46 7.1664E-05
348 4.47 7.1666E-05
349 4.48 7.1607E-05
350 4.49 7.1642E-05
351 4.5 7.1692E-05
352 4.51 7.1632E-05
353 4.52 7.1604E-05
354 4.53 7.1668E-05
355 4.54 7.1658E-05
356 4.55 7.1614E-05
357 4.56 7.1668E-05
358 4.57 7.1695E-05
359 4.58 7.1636E-05
360 4.59 7.1637E-05
361 4.6 7.1687E-05
362 4.61 7.1643E-05
363 4.62 7.1608E-05
364 4.63 7.1683E-05
365 4.64 7.1683E-05
366 4.65 7.1627E-05
367 4.66 7.1658E-05
368 4.67 7.171E-05
369 4.68 7.1648E-05
370 4.69 7.1619E-05
371 4.7 7.1688E-05
372 4.71 7.1678E-05
373 4.72 7.1636E-05
374 4.73 7.1685E-05
375 4.74 7.1709E-05
376 4.75 7.1653E-05
377 4.76 7.1645E-05
378 4.77 7.1708E-05
379 4.78 7.1674E-05
380 4.79 7.1631E-05
381 4.8 7.1695E-05
382 4.81 7.1714E-05
383 4.82 7.1651E-05
384 4.83 7.165E-05
385 4.84 7.1712E-05
386 4.85 7.1691E-05
387 4.86 7.1648E-05
388 4.87 7.1703E-05
389 4.88 7.1731E-05
390 4.89 7.1667E-05
391 4.9 7.1671E-05
392 4.91 7.1719E-05
393 4.92 7.1684E-05
394 4.93 7.1644E-05
395 4.94 7.1717E-05
396 4.95 7.1719E-05
397 4.96 7.1665E-05
398 4.97 7.1689E-05
399 4.98 7.1742E-05
400 4.99 7.1687E-05
401 5 7.1677E-05
402 5.01 7.1736E-05
403 5.02 7.1715E-05
404 5.03 7.167E-05
405 5.04 7.1727E-05
406 5.05 7.1755E-05
407 5.06 7.1696E-05
408 5.07 7.1694E-05
409 5.08 7.1749E-05
410 5.09 7.1707E-05
