
VD= 0 to 5 in 0.01 step
VG= 0 to 5 in 0.5 step
NO. VD VG ID
 V V A
89 0.88 0 -9.2301E-05
90 0.89 0 -9.2324E-05
91 0.9 0 -9.2309E-05
92 0.91 0 -9.2281E-05
93 0.92 0 -9.231E-05
94 0.93 0 -9.2319E-05
95 0.94 0 -9.2279E-05
96 0.95 0 -9.2285E-05
97 0.96 0 -9.2309E-05
98 0.97 0 -9.2282E-05
99 0.98 0 -9.2265E-05
100 0.99 0 -9.2295E-05
101 1 0 -9.2291E-05
102 1.01 0 -9.2255E-05
103 1.02 0 -9.227E-05
104 1.03 0 -9.2292E-05
105 1.04 0 -9.2257E-05
106 1.05 0 -9.2248E-05
107 1.06 0 -9.2273E-05
108 1.07 0 -9.2265E-05
109 1.08 0 -9.2235E-05
110 1.09 0 -9.2261E-05
111 1.1 0 -9.2271E-05
112 1.11 0 -9.2234E-05
113 1.12 0 -9.2235E-05
114 1.13 0 -9.2267E-05
115 1.14 0 -9.2241E-05
116 1.15 0 -9.2213E-05
117 1.16 0 -9.224E-05
118 1.17 0 -9.2246E-05
119 1.18 0 -9.2211E-05
120 1.19 0 -9.2216E-05
121 1.2 0 -9.2237E-05
122 1.21 0 -9.2208E-05
123 1.22 0 -9.2194E-05
124 1.23 0 -9.2221E-05
125 1.24 0 -9.2213E-05
126 1.25 0 -9.2176E-05
127 1.26 0 -9.2196E-05
128 1.27 0 -9.2213E-05
129 1.28 0 -9.218E-05
130 1.29 0 -9.2171E-05
131 1.3 0 -9.2195E-05
132 1.31 0 -9.2184E-05
133 1.32 0 -9.2155E-05
134 1.33 0 -9.2181E-05
135 1.34 0 -9.2184E-05
136 1.35 0 -9.2146E-05
137 1.36 0 -9.2148E-05
138 1.37 0 -9.2178E-05
139 1.38 0 -9.2148E-05
140 1.39 0 -9.2123E-05
141 1.4 0 -9.2151E-05
142 1.41 0 -9.2152E-05
143 1.42 0 -9.2115E-05
144 1.43 0 -9.2122E-05
145 1.44 0 -9.2144E-05
146 1.45 0 -9.2105E-05
147 1.46 0 -9.2096E-05
148 1.47 0 -9.212E-05
149 1.48 0 -9.211E-05
150 1.49 0 -9.2072E-05
151 1.5 0 -9.2091E-05
152 1.51 0 -9.2105E-05
153 1.52 0 -9.2068E-05
154 1.53 0 -9.2062E-05
155 1.54 0 -9.2086E-05
156 1.55 0 -9.2065E-05
157 1.56 0 -9.2033E-05
158 1.57 0 -9.2061E-05
159 1.58 0 -9.2061E-05
160 1.59 0 -9.2021E-05
161 1.6 0 -9.202E-05
162 1.61 0 -9.2041E-05
163 1.62 0 -9.2009E-05
164 1.63 0 -9.1988E-05
165 1.64 0 -9.201E-05
166 1.65 0 -9.2002E-05
167 1.66 0 -9.1958E-05
168 1.67 0 -9.197E-05
169 1.68 0 -9.1986E-05
170 1.69 0 -9.1946E-05
171 1.7 0 -9.1928E-05
172 1.71 0 -9.1949E-05
173 1.72 0 -9.1935E-05
174 1.73 0 -9.1894E-05
175 1.74 0 -9.1909E-05
176 1.75 0 -9.1913E-05
177 1.76 0 -9.1867E-05
178 1.77 0 -9.1858E-05
179 1.78 0 -9.1876E-05
180 1.79 0 -9.1845E-05
181 1.8 0 -9.1809E-05
182 1.81 0 -9.1823E-05
183 1.82 0 -9.1818E-05
184 1.83 0 -9.1769E-05
185 1.84 0 -9.1764E-05
186 1.85 0 -9.1772E-05
187 1.86 0 -9.1729E-05
188 1.87 0 -9.17E-05
189 1.88 0 -9.1713E-05
190 1.89 0 -9.1693E-05
191 1.9 0 -9.1639E-05
192 1.91 0 -9.1638E-05
193 1.92 0 -9.1642E-05
194 1.93 0 -9.159E-05
195 1.94 0 -9.1561E-05
196 1.95 0 -9.1564E-05
197 1.96 0 -9.1534E-05
198 1.97 0 -9.1482E-05
199 1.98 0 -9.1484E-05
200 1.99 0 -9.1466E-05
201 2 0 -9.1404E-05
202 2.01 0 -9.1378E-05
203 2.02 0 -9.1384E-05
204 2.03 0 -9.1327E-05
205 2.04 0 -9.1277E-05
206 2.05 0 -9.1272E-05
