
VD= 5 to 10 in 0.01 step
VG= 5 to 10 in 1 step
NO. VD ID ISUB
 V A A
251 7.5 -3.8361E-09 1.7864E-08
252 7.51 -4.9942E-09 1.6428E-08
253 7.52 -1.9576E-09 1.6988E-08
254 7.53 -3.2908E-09 1.7915E-08
255 7.54 -4.5204E-09 1.708E-08
256 7.55 -5.569E-09 1.6848E-08
257 7.56 -2.7366E-09 1.7345E-08
258 7.57 -4.0234E-09 1.7536E-08
259 7.58 -5.1523E-09 1.6202E-08
260 7.59 -6.0877E-09 1.7115E-08
261 7.6 -3.4888E-09 1.7989E-08
262 7.61 -4.6894E-09 1.6827E-08
263 7.62 -5.7113E-09 1.6897E-08
264 7.63 -2.9368E-09 1.7528E-08
265 7.64 -4.2051E-09 1.7132E-08
266 7.65 -5.3046E-09 1.6583E-08
267 7.66 -2.3684E-09 1.7128E-08
268 7.67 -3.693E-09 1.7958E-08
269 7.68 -4.8718E-09 1.6573E-08
270 7.69 -5.8497E-09 1.6963E-08
271 7.7 -3.1391E-09 1.7796E-08
272 7.71 -4.3847E-09 1.7199E-08
273 7.72 -5.4536E-09 1.6774E-08
274 7.73 -2.5696E-09 1.7237E-08
275 7.74 -3.8808E-09 1.7771E-08
276 7.75 -5.0214E-09 1.6444E-08
277 7.76 -5.9892E-09 1.702E-08
278 7.77 -3.329E-09 1.7943E-08
279 7.78 -4.5537E-09 1.701E-08
280 7.79 -5.5956E-09 1.6839E-08
281 7.8 -2.7758E-09 1.7399E-08
282 7.81 -4.0572E-09 1.7451E-08
283 7.82 -5.1795E-09 1.6208E-08
284 7.83 -6.1061E-09 1.704E-08
285 7.84 -3.5169E-09 1.8036E-08
286 7.85 -4.719E-09 1.682E-08
287 7.86 -5.7349E-09 1.6926E-08
288 7.87 -2.9558E-09 1.7549E-08
289 7.88 -4.2191E-09 1.7217E-08
290 7.89 -5.3241E-09 1.6639E-08
291 7.9 -2.3948E-09 1.7128E-08
292 7.91 -3.703E-09 1.7936E-08
293 7.92 -4.8768E-09 1.667E-08
294 7.93 -5.8599E-09 1.698E-08
295 7.94 -3.1525E-09 1.7749E-08
296 7.95 -4.398E-09 1.7244E-08
297 7.96 -5.4622E-09 1.6798E-08
298 7.97 -2.572E-09 1.7248E-08
299 7.98 -3.8714E-09 1.7764E-08
300 7.99 -5.0242E-09 1.6469E-08
301 8 -5.9815E-09 1.7051E-08
302 8.01 -3.3299E-09 1.7947E-08
303 8.02 -4.5507E-09 1.6989E-08
304 8.03 -5.5933E-09 1.6891E-08
305 8.04 -2.7478E-09 1.7411E-08
306 8.05 -4.0343E-09 1.7506E-08
307 8.06 -5.1585E-09 1.6242E-08
308 8.07 -6.0962E-09 1.7084E-08
309 8.08 -3.4993E-09 1.7989E-08
310 8.09 -4.6955E-09 1.6829E-08
311 8.1 -5.7146E-09 1.694E-08
312 8.11 -2.9224E-09 1.7532E-08
313 8.12 -4.187E-09 1.7224E-08
314 8.13 -5.2999E-09 1.6652E-08
315 8.14 -2.3509E-09 1.7124E-08
316 8.15 -3.6579E-09 1.7994E-08
317 8.16 -4.8377E-09 1.6686E-08
318 8.17 -5.8301E-09 1.6965E-08
319 8.18 -3.0883E-09 1.7724E-08
320 8.19 -4.336E-09 1.7303E-08
321 8.2 -5.4194E-09 1.6713E-08
322 8.21 -2.5145E-09 1.7196E-08
323 8.22 -3.8117E-09 1.7859E-08
324 8.23 -4.969E-09 1.6533E-08
325 8.24 -5.9392E-09 1.6936E-08
326 8.25 -3.2636E-09 1.7889E-08
327 8.26 -4.4933E-09 1.7142E-08
328 8.27 -5.5455E-09 1.6825E-08
329 8.28 -2.6839E-09 1.7315E-08
330 8.29 -3.9731E-09 1.7612E-08
