
VD= 5 to 10 in 0.01 step
VG= 5 to 10 in 1 step
NO. VD ID ISUB
 V A A
337 8.36 1.2912E-08 3.912E-09
338 8.37 -1.1735E-08 1.5161E-08
339 8.38 -1.2343E-08 -4.47E-10
340 8.39 8.956E-09 -1.8433E-08
341 8.4 1.2943E-08 4.255E-09
342 8.41 -1.1938E-08 1.5162E-08
343 8.42 -1.3148E-08 -8.187E-09
344 8.43 1.1881E-08 -3.82E-10
345 8.44 -9.507E-09 1.94E-08
346 8.45 -1.2719E-08 -4.146E-09
347 8.46 1.0735E-08 -2.1777E-08
348 8.47 1.1784E-08 -1.247E-09
349 8.48 -9.323E-09 1.9855E-08
350 8.49 -1.2774E-08 -3.66E-09
351 8.5 1.049E-08 -2.1925E-08
352 8.51 1.1733E-08 -1.9909E-08
353 8.52 1.2752E-08 2.814E-09
354 8.53 -1.115E-08 1.6231E-08
355 8.54 -1.2349E-08 1.482E-09
356 8.55 8.432E-09 -1.9547E-08
357 8.56 1.2766E-08 3.136E-09
358 8.57 -1.1345E-08 1.5861E-08
359 8.58 -1.234E-08 9.19E-10
360 8.59 8.652E-09 -1.9267E-08
361 8.6 1.2815E-08 3.502E-09
362 8.61 -1.1591E-08 1.5441E-08
363 8.62 -1.2325E-08 2.81E-10
364 8.63 8.761E-09 -2.1377E-08
365 8.64 1.2752E-08 2.977E-09
366 8.65 -1.1298E-08 1.6049E-08
367 8.66 -1.2324E-08 1.11E-09
368 8.67 8.586E-09 -1.9417E-08
369 8.68 1.2814E-08 3.326E-09
370 8.69 -1.148E-08 1.5605E-08
371 8.7 -1.2307E-08 5.66E-10
372 8.71 8.717E-09 -1.9068E-08
373 8.72 1.284E-08 3.699E-09
374 8.73 -1.1667E-08 1.5212E-08
375 8.74 -1.2369E-08 -3.1E-11
376 8.75 8.818E-09 -1.8705E-08
377 8.76 1.2907E-08 3.959E-09
378 8.77 -1.1848E-08 1.517E-08
379 8.78 -1.2398E-08 -6.01E-10
380 8.79 8.96E-09 -2.1681E-08
381 8.8 1.2839E-08 3.57E-09
382 8.81 -1.1602E-08 1.5404E-08
383 8.82 -1.2337E-08 1.99E-10
384 8.83 8.757E-09 -1.8835E-08
385 8.84 1.2865E-08 3.844E-09
386 8.85 -1.1802E-08 1.5149E-08
387 8.86 -1.2381E-08 -3.92E-10
388 8.87 8.909E-09 -2.1665E-08
389 8.88 1.2813E-08 3.414E-09
390 8.89 -1.1481E-08 1.5552E-08
391 8.9 -1.2304E-08 4.83E-10
392 8.91 8.713E-09 -2.1339E-08
393 8.92 1.2733E-08 2.896E-09
394 8.93 -1.1197E-08 1.6198E-08
395 8.94 -1.2334E-08 1.284E-09
396 8.95 8.489E-09 -1.9489E-08
397 8.96 1.2788E-08 3.269E-09
398 8.97 -1.1399E-08 1.581E-08
399 8.98 -1.226E-08 7.06E-10
400 8.99 8.678E-09 -1.917E-08
401 9 1.2862E-08 3.682E-09
402 9.01 -1.1569E-08 1.5333E-08
403 9.02 -1.2272E-08 1.25E-10
404 9.03 8.782E-09 -1.8806E-08
405 9.04 1.2913E-08 3.974E-09
406 9.05 -1.1758E-08 1.5157E-08
407 9.06 -1.2343E-08 -4.13E-10
408 9.07 8.916E-09 -1.8475E-08
409 9.08 1.2956E-08 4.311E-09
410 9.09 -1.1936E-08 1.5156E-08
411 9.1 -1.3106E-08 -8.255E-09
412 9.11 1.1856E-08 -3.18E-10
413 9.12 -9.448E-09 1.9439E-08
414 9.13 -1.2713E-08 -4.133E-09
415 9.14 1.0754E-08 -2.1696E-08
416 9.15 1.1797E-08 -1.171E-09
417 9.16 -9.284E-09 1.9911E-08
418 9.17 -1.2703E-08 -3.643E-09
419 9.18 1.0484E-08 -2.2015E-08
420 9.19 1.1764E-08 -1.994E-08
421 9.2 1.2774E-08 2.954E-09
422 9.21 -1.1045E-08 1.6299E-08
423 9.22 -1.2343E-08 1.669E-09
424 9.23 8.424E-09 -1.9659E-08
425 9.24 1.2789E-08 3.242E-09
