,,,
VD=,5,to,10
VG=,5,to,10
NO.,VD,ID,ISUB
V,A,A,
194,6.93,8.481E-09,-1.8966E-08
195,6.94,1.2631E-08,3.964E-09
196,6.95,-1.1483E-08,1.5176E-08
197,6.96,-1.276E-08,-7.888E-09
198,6.97,1.1643E-08,-7.05E-10
199,6.98,-9.168E-09,1.9419E-08
200,6.99,-1.2524E-08,-4.033E-09
201,7,1.0461E-08,-2.1359E-08
202,7.01,1.1611E-08,-1.021E-09
203,7.02,-9.129E-09,1.9697E-08
204,7.03,-1.2542E-08,-3.781E-09
205,7.04,1.0336E-08,-2.1528E-08
206,7.05,1.1618E-08,-1.331E-09
207,7.06,-8.944E-09,1.9759E-08
208,7.07,-1.2509E-08,-3.623E-09
209,7.08,1.0272E-08,-2.1758E-08
210,7.09,1.1557E-08,-1.612E-09
211,7.1,-8.85E-09,1.997E-08
212,7.11,-1.2578E-08,-3.44E-09
213,7.12,1.0145E-08,-2.1948E-08
214,7.13,1.1568E-08,-1.9789E-08
215,7.14,1.2522E-08,3.028E-09
216,7.15,-1.0955E-08,1.6009E-08
217,7.16,-1.2159E-08,1.023E-09
218,7.17,8.37E-09,-1.919E-08
219,7.18,1.2587E-08,3.683E-09
220,7.19,-1.1378E-08,1.5378E-08
221,7.2,-1.2191E-08,-9.9E-11
222,7.21,8.598E-09,-1.8513E-08
223,7.22,1.2724E-08,4.306E-09
224,7.23,-1.1739E-08,1.514E-08
225,7.24,-1.2898E-08,-8.216E-09
226,7.25,1.1728E-08,-3.1E-11
227,7.26,-9.372E-09,1.9086E-08
228,7.27,-1.2541E-08,-4.398E-09
229,7.28,1.0725E-08,-2.1093E-08
230,7.29,1.2965E-08,7.197E-09
231,7.3,-1.2214E-08,1.545E-09
232,7.31,8.15E-09,-1.9482E-08
233,7.32,1.2541E-08,3.382E-09
234,7.33,-1.1178E-08,1.5585E-08
235,7.34,-1.2151E-08,4E-10
236,7.35,8.529E-09,-1.8858E-08
237,7.36,1.2662E-08,4.065E-09
238,7.37,-1.1537E-08,1.5186E-08
239,7.38,-1.281E-08,-7.899E-09
240,7.39,1.1674E-08,-5.64E-10
241,7.4,-9.227E-09,1.937E-08
242,7.41,-1.2551E-08,-4.111E-09
243,7.42,1.0514E-08,-1.4378E-08
244,7.43,1.305E-08,7.618E-09
245,7.44,-1.2155E-08,7.45E-10
246,7.45,8.474E-09,-1.8972E-08
247,7.46,1.2645E-08,3.915E-09
248,7.47,-1.1488E-08,2.1639E-08
249,7.48,-1.2156E-08,9.52E-10
250,7.49,8.352E-09,-1.9221E-08
251,7.5,1.2594E-08,3.709E-09
252,7.51,-1.1367E-08,1.5315E-08
253,7.52,-1.2764E-08,-7.675E-09
254,7.53,1.1617E-08,-1.11E-09
255,7.54,-9.133E-09,1.9699E-08
256,7.55,-1.2553E-08,-3.76E-09
257,7.56,1.0298E-08,-2.1639E-08
258,7.57,1.1641E-08,-1.39E-09
259,7.58,-8.942E-09,1.9789E-08
260,7.59,-1.255E-08,-3.552E-09
261,7.6,1.0239E-08,-2.1879E-08
262,7.61,1.1616E-08,-1.711E-09
263,7.62,-8.833E-09,1.9984E-08
264,7.63,-1.255E-08,-3.417E-09
265,7.64,1.0173E-08,-2.1999E-08
266,7.65,1.1584E-08,-1.9775E-08
267,7.66,1.2506E-08,3.025E-09
268,7.67,-1.0952E-08,1.614E-08
269,7.68,-1.2177E-08,1.12E-09
270,7.69,8.319E-09,-2.1081E-08
271,7.7,1.243E-08,2.881E-09
272,7.71,-1.0799E-08,2.2483E-08
273,7.72,-1.2296E-08,2.0471E-08
274,7.73,-1.2573E-08,-2.675E-09
275,7.74,9.633E-09,-2.2174E-08
276,7.75,1.1513E-08,-2.0073E-08
277,7.76,1.2286E-08,2.207E-09
278,7.77,-1.0401E-08,1.7265E-08
279,7.78,-1.229E-08,2.0295E-08
280,7.79,-1.2589E-08,-2.885E-09
281,7.8,9.849E-09,-2.2125E-08
282,7.81,1.1556E-08,-2.0092E-08
283,7.82,1.2381E-08,2.524E-09
284,7.83,-1.0552E-08,1.679E-08
285,7.84,-1.2237E-08,2.054E-09
286,7.85,8.038E-09,-1.9739E-08
287,7.86,1.2536E-08,3.158E-09
288,7.87,-1.1028E-08,2.2437E-08
289,7.88,-1.2252E-08,2.0283E-08
290,7.89,-1.2608E-08,-2.957E-09
291,7.9,9.833E-09,-1.5665E-08
292,7.91,1.1585E-08,-1.329E-09
293,7.92,-9.03E-09,1.9832E-08
294,7.93,-1.2585E-08,-3.598E-09
295,7.94,1.0233E-08,-2.1799E-08
296,7.95,1.1583E-08,-1.594E-09
297,7.96,-8.818E-09,1.9923E-08
298,7.97,-1.2574E-08,-3.404E-09
299,7.98,1.0138E-08,-2.1947E-08
300,7.99,1.159E-08,-1.96E-09
301,8,-8.755E-09,2.0087E-08
302,8.01,-1.2605E-08,-3.201E-09
303,8.02,1.0035E-08,-2.2075E-08
304,8.03,1.1599E-08,-1.9927E-08
305,8.04,1.2457E-08,2.816E-09
306,8.05,-1.0844E-08,1.6332E-08
307,8.06,-1.2177E-08,1.431E-09
308,8.07,8.229E-09,-1.9404E-08
309,8.08,1.2556E-08,3.455E-09
310,8.09,-1.128E-08,1.552E-08
311,8.1,-1.2174E-08,2.64E-10
312,8.11,8.554E-09,-1.8677E-08
313,8.12,1.2675E-08,4.105E-09
314,8.13,-1.1632E-08,1.5099E-08
315,8.14,-1.2908E-08,-8.08E-09
316,8.15,1.1675E-08,-4.66E-10
317,8.16,-9.341E-09,1.9296E-08
318,8.17,-1.2565E-08,-4.239E-09
319,8.18,1.0574E-08,-2.1251E-08
320,8.19,1.1641E-08,-6.7E-10
321,8.2,-9.233E-09,1.9494E-08
322,8.21,-1.2561E-08,-4.049E-09
323,8.22,1.0434E-08,-2.1359E-08
324,8.23,1.1625E-08,-9.7E-10
325,8.24,-9.1E-09,1.961E-08
326,8.25,-1.2559E-08,-3.824E-09
327,8.26,1.0374E-08,-2.1614E-08
328,8.27,1.1619E-08,-1.34E-09
329,8.28,-8.983E-09,1.9756E-08
330,8.29,-1.2578E-08,-3.634E-09
331,8.3,1.0293E-08,-2.1819E-08
332,8.31,1.1606E-08,-1.608E-09
333,8.32,-8.884E-09,1.9847E-08
334,8.33,-1.257E-08,-3.438E-09
335,8.34,1.016E-08,-2.197E-08
336,8.35,1.16E-08,-1.882E-09
337,8.36,-8.751E-09,2.0058E-08
338,8.37,-1.2571E-08,-3.31E-09
339,8.38,1.0047E-08,-2.2085E-08
340,8.39,1.1571E-08,-1.9959E-08
341,8.4,1.2475E-08,2.918E-09
342,8.41,-1.0871E-08,1.6261E-08
343,8.42,-1.2181E-08,1.281E-09
344,8.43,8.246E-09,-1.936E-08
345,8.44,1.2601E-08,3.501E-09
346,8.45,-1.1259E-08,1.5483E-08
347,8.46,-1.215E-08,2.27E-10
348,8.47,8.58E-09,-2.1271E-08
349,8.48,1.2544E-08,3.341E-09
350,8.49,-1.117E-08,2.2289E-08
351,8.5,-1.2246E-08,2.05E-09
352,8.51,8.037E-09,-1.9712E-08
353,8.52,1.2545E-08,3.187E-09
354,8.53,-1.1025E-08,1.5862E-08
355,8.54,-1.2183E-08,8.85E-10
356,8.55,8.433E-09,-1.9072E-08
357,8.56,1.2621E-08,3.825E-09
358,8.57,-1.1424E-08,1.5294E-08
359,8.58,-1.2791E-08,-7.743E-09
360,8.59,1.1634E-08,-8.94E-10
361,8.6,-9.123E-09,1.957E-08
362,8.61,-1.2581E-08,-3.894E-09
363,8.62,1.0371E-08,-2.1477E-08
364,8.63,1.1603E-08,-1.27E-09
365,8.64,-9.03E-09,1.9761E-08
366,8.65,-1.2573E-08,-3.668E-09
367,8.66,1.0283E-08,-2.1769E-08
368,8.67,1.1594E-08,-1.538E-09
369,8.68,-8.917E-09,1.994E-08
370,8.69,-1.2587E-08,-3.46E-09
371,8.7,1.0172E-08,-2.1975E-08
372,8.71,1.1622E-08,-1.9724E-08
373,8.72,1.2506E-08,3.061E-09
374,8.73,-1.0988E-08,1.5993E-08
375,8.74,-1.2178E-08,1.07E-09
376,8.75,8.368E-09,-1.9136E-08
377,8.76,1.2611E-08,3.688E-09
378,8.77,-1.1362E-08,1.5419E-08
379,8.78,-1.2791E-08,-7.739E-09
380,8.79,1.1647E-08,-1.135E-09
381,8.8,-9.065E-09,1.968E-08
382,8.81,-1.2556E-08,-3.762E-09
383,8.82,1.0289E-08,-1.4684E-08
384,8.83,1.3002E-08,7.38E-09
385,8.84,-1.2227E-08,1.32E-09
386,8.85,8.278E-09,-1.9281E-08
387,8.86,1.2547E-08,3.572E-09
388,8.87,-1.1279E-08,2.2024E-08
